edad;loannumber;times_late;totaldue;loanamount;employment_status_clients_Permanent;termdays;bank_name_clients_GT Bank;times_loaned;referredby;good_bad_flag
36;5;0;24500;20000;0;30;1;4;0;1
41;2;0;11500;10000;0;15;1;1;0;1
42;8;7;13000;10000;1;30;0;7;0;1
45;6;0;24500;20000;1;30;1;5;0;1
33;11;2;44000;40000;1;30;0;10;0;1
29;4;3;11500;10000;1;15;0;3;0;0
44;5;0;10750;10000;1;15;1;2;1;1
31;10;1;21000;20000;0;15;0;9;0;1
28;2;1;13000;10000;0;30;1;1;0;1
33;3;0;11500;10000;1;15;1;2;0;1
38;3;1;13000;10000;0;30;1;2;1;0
43;2;1;13000;10000;1;30;1;1;0;0
33;5;3;24500;20000;1;30;1;4;0;1
36;3;2;13000;10000;1;30;0;2;0;0
41;8;3;34500;30000;1;30;0;7;0;1
44;3;2;11500;10000;1;15;0;2;0;1
37;8;3;39000;30000;1;60;1;7;0;1
30;3;0;13000;10000;1;30;1;2;0;1
30;2;1;13000;10000;1;30;0;1;0;0
47;8;2;39000;30000;0;60;0;7;0;1
41;3;2;13000;10000;1;30;0;2;0;0
37;12;3;44000;40000;1;30;0;11;0;0
31;3;2;13000;10000;1;30;1;2;1;0
36;11;5;52500;50000;0;30;1;10;0;1
44;4;0;24500;20000;1;30;0;3;0;1
35;10;2;44000;40000;1;30;1;9;0;1
33;17;2;44000;40000;1;30;0;16;0;1
41;9;2;24500;20000;1;30;0;8;0;0
38;3;0;12500;10000;0;30;0;2;1;1
30;9;1;44000;40000;0;30;0;8;0;1
33;3;2;13000;10000;0;30;0;2;0;0
38;2;0;11500;10000;0;15;1;1;0;1
36;2;0;11500;10000;1;15;0;1;0;1
33;3;2;13000;10000;1;30;1;2;0;1
31;2;1;13000;10000;1;30;0;1;1;0
36;2;0;11500;10000;1;15;1;1;0;1
33;6;4;22250;20000;1;15;1;5;0;0
28;12;6;11125;10000;1;15;0;11;0;1
38;7;0;34500;30000;1;30;0;6;0;1
48;3;1;13000;10000;1;30;0;2;1;1
31;2;0;13000;10000;1;30;1;1;1;1
39;2;1;11500;10000;1;15;0;1;0;1
45;4;2;13000;10000;0;30;0;3;0;1
43;4;1;13000;10000;1;30;0;3;0;0
46;4;0;24500;20000;0;30;0;3;0;1
34;9;0;22000;20000;1;30;0;8;0;1
39;4;2;24500;20000;1;30;1;3;0;1
32;2;1;13000;10000;1;30;1;1;1;0
46;3;1;13000;10000;0;30;1;2;0;0
46;10;1;39000;30000;1;60;1;9;0;1
33;3;1;11500;10000;1;15;1;2;0;1
30;2;0;13000;10000;1;30;0;1;0;1
28;3;1;11500;10000;1;15;1;2;0;1
30;10;5;24500;20000;1;30;1;9;0;1
33;2;0;13000;10000;1;30;1;1;0;1
31;2;0;11500;10000;1;15;0;1;0;1
35;2;1;13000;10000;0;30;0;1;0;0
37;9;5;24500;20000;1;30;0;8;0;1
47;6;1;24500;20000;1;30;1;5;0;1
29;12;10;55000;50000;0;60;1;11;0;0
37;2;1;13000;10000;0;30;0;1;1;1
37;2;1;13000;10000;1;30;1;1;0;1
37;3;0;11500;10000;1;15;0;2;1;1
29;7;4;34500;30000;1;30;0;6;0;1
42;4;0;22250;20000;1;15;1;3;0;1
40;2;1;13000;10000;0;30;1;1;1;1
42;7;6;24500;20000;1;30;0;6;0;1
42;2;0;13000;10000;1;30;0;1;0;1
28;10;3;16500;15000;1;30;1;9;0;1
39;2;1;11500;10000;1;15;0;1;0;1
47;8;2;34500;30000;1;30;0;7;0;1
37;12;4;57500;50000;1;90;0;11;0;0
32;13;1;55000;50000;1;60;0;12;0;1
40;6;1;24500;20000;0;30;1;5;1;1
32;12;6;34500;30000;0;30;1;11;0;1
31;5;0;34500;30000;0;30;0;4;0;1
41;10;3;44000;40000;0;30;0;9;0;1
32;8;1;36000;30000;1;60;1;7;0;1
49;9;5;34500;30000;0;30;0;8;0;1
50;2;1;13000;10000;1;30;1;1;0;1
27;5;2;22250;20000;1;15;0;4;0;1
29;3;1;13000;10000;1;30;0;2;0;1
34;13;8;44000;40000;0;30;1;12;0;1
29;10;4;22000;20000;1;30;1;9;0;1
39;4;3;24500;20000;0;30;1;3;0;1
49;3;0;13000;10000;1;30;0;2;0;1
41;9;1;44000;40000;0;30;0;8;0;1
38;12;4;34500;30000;1;30;0;11;0;0
32;2;0;11500;10000;1;15;0;1;0;1
27;14;2;44000;40000;1;30;0;13;0;1
33;4;2;11500;10000;1;15;0;3;1;1
35;2;0;13000;10000;1;30;0;1;1;0
48;2;1;13000;10000;1;30;0;1;0;1
42;7;0;34500;30000;1;30;1;6;0;1
44;2;0;13000;10000;1;30;0;1;0;1
27;13;4;57500;50000;1;90;0;12;0;1
43;3;0;11500;10000;1;15;0;2;0;1
45;2;1;11500;10000;0;15;0;1;0;1
43;2;0;11500;10000;1;15;1;1;0;1
33;12;0;34500;30000;0;30;0;11;0;1
36;2;0;13000;10000;0;30;0;1;0;1
34;9;3;34500;30000;1;30;0;8;0;1
48;3;2;22250;20000;1;15;0;2;0;0
40;6;1;12250;10000;0;30;1;5;0;1
42;2;0;13000;10000;1;30;1;1;0;1
36;2;1;13000;10000;1;30;0;1;1;1
53;15;8;34500;30000;1;30;1;14;0;1
39;2;0;13000;10000;1;30;0;1;0;1
40;7;1;34500;30000;1;30;0;6;0;1
34;2;0;11500;10000;0;15;0;1;1;1
39;3;0;13000;10000;1;30;1;2;0;1
33;2;1;11500;10000;1;15;1;1;0;1
38;5;2;13000;10000;1;30;1;4;0;1
39;7;1;24500;20000;1;30;0;6;0;1
28;5;3;13000;10000;0;30;0;4;0;1
46;4;2;13000;10000;0;30;1;3;0;0
41;2;0;13000;10000;0;30;0;1;0;1
35;7;4;39000;30000;1;60;0;6;0;0
30;5;1;39000;30000;1;60;0;4;0;1
35;2;1;13000;10000;1;30;1;1;1;1
37;6;3;48000;40000;1;60;1;5;0;1
40;3;1;13000;10000;1;30;1;2;0;1
35;7;4;13000;10000;1;30;0;6;0;0
32;7;1;39000;30000;1;60;1;6;0;1
35;2;0;13000;10000;1;30;0;1;1;1
44;9;2;39000;30000;1;60;1;8;0;1
34;4;0;24500;20000;0;30;1;3;0;1
35;11;3;44000;40000;1;30;0;10;0;0
34;9;3;22250;20000;0;15;1;8;0;1
41;3;1;11500;10000;1;15;0;2;1;0
47;12;9;22000;20000;0;30;0;11;0;1
29;5;4;13000;10000;0;30;0;4;0;0
35;8;3;34500;30000;1;30;0;7;0;1
35;5;4;13000;10000;1;30;0;4;0;1
40;9;0;34500;30000;0;30;1;8;0;1
50;2;0;13000;10000;1;30;0;1;1;1
31;4;2;24500;20000;1;30;0;3;0;1
35;6;4;11125;10000;0;15;0;5;0;1
35;6;3;13000;10000;0;30;0;5;0;1
42;2;1;13000;10000;0;30;0;1;0;0
34;2;0;11500;10000;1;15;1;1;1;1
43;14;1;44000;40000;0;30;1;13;0;1
48;4;2;13000;10000;1;30;0;3;0;0
34;6;0;39000;30000;0;60;0;5;0;1
29;2;1;13000;10000;0;30;0;1;0;0
35;3;1;13000;10000;1;30;1;2;1;0
35;2;1;11500;10000;0;15;0;1;0;1
39;7;0;39000;30000;1;60;1;6;0;1
32;6;4;24500;20000;1;30;0;5;0;1
39;2;1;13000;10000;0;30;1;1;1;1
32;2;1;13000;10000;1;30;0;1;0;0
32;7;1;24500;20000;1;30;0;6;0;1
33;2;0;11500;10000;1;15;0;1;0;1
26;5;1;24500;20000;1;30;1;4;0;0
44;17;1;52500;50000;1;30;0;15;0;1
38;6;2;22250;20000;1;15;1;5;0;1
32;2;0;11500;10000;1;15;1;1;0;1
40;3;2;13000;10000;1;30;0;2;0;1
44;10;2;33000;30000;1;30;0;9;0;1
39;2;0;13000;10000;1;30;0;1;1;1
53;7;6;34500;30000;1;30;0;6;0;1
40;3;2;13000;10000;1;30;1;2;0;1
40;15;0;57500;50000;1;90;1;14;0;1
31;2;0;11500;10000;1;15;0;1;0;1
39;3;0;24500;20000;1;30;0;2;0;1
37;7;0;39000;30000;1;60;1;6;0;1
43;6;0;24500;20000;1;30;1;4;0;1
36;4;0;16687;15000;1;15;1;3;0;1
34;3;1;13000;10000;1;30;0;2;0;1
28;3;1;13000;10000;1;30;1;2;0;0
32;4;2;13000;10000;1;30;0;3;0;1
34;8;0;39000;30000;1;60;1;7;0;1
34;6;5;13000;10000;0;30;0;5;0;0
51;2;1;13000;10000;0;30;1;1;0;1
42;5;3;24500;20000;1;30;0;4;0;1
40;8;0;39000;30000;1;60;1;7;0;0
45;8;1;34500;30000;1;30;1;7;0;1
35;11;3;17250;15000;1;30;0;10;0;1
30;17;10;38500;35000;1;30;1;16;0;1
52;10;4;48000;40000;0;60;0;9;0;1
34;6;4;13000;10000;1;30;1;5;0;0
42;2;0;13000;10000;1;30;0;1;0;1
46;6;0;24500;20000;1;30;0;5;0;1
35;2;0;13000;10000;1;30;0;1;1;1
45;11;1;44000;40000;0;30;1;10;0;1
33;3;0;11500;10000;0;15;0;2;1;1
41;3;0;11500;10000;1;15;1;2;1;1
41;6;2;24500;20000;1;30;0;5;0;0
46;4;1;13000;10000;1;30;0;3;0;0
33;2;0;13000;10000;1;30;0;1;0;1
52;2;1;13000;10000;1;30;0;1;0;0
47;4;0;24500;20000;1;30;0;3;1;0
36;3;0;13000;10000;1;30;0;2;0;1
28;6;2;39000;30000;1;60;1;5;0;1
31;2;0;11500;10000;0;15;1;1;0;0
39;8;0;34500;30000;1;30;1;7;0;1
35;5;1;13000;10000;1;30;0;4;0;1
42;12;2;44000;40000;1;30;0;11;0;1
36;3;0;11500;10000;1;15;0;2;0;1
48;2;1;13000;10000;1;30;1;1;0;1
37;11;4;44000;40000;1;30;1;10;0;1
37;4;1;24500;20000;1;30;1;3;1;1
38;14;7;34500;30000;1;30;0;13;0;1
52;9;0;34500;30000;1;30;0;8;0;1
46;2;1;13000;10000;0;30;1;1;0;1
33;2;1;13000;10000;1;30;1;1;0;0
48;8;0;34500;30000;1;30;0;7;0;1
34;9;0;34500;30000;1;30;0;8;0;1
37;2;1;13000;10000;1;30;1;1;0;0
38;2;0;13000;10000;1;30;0;1;1;1
47;3;0;13000;10000;1;30;0;2;0;1
41;2;0;11500;10000;0;15;0;1;1;1
36;10;1;34500;30000;1;30;0;9;0;1
33;9;2;34500;30000;1;30;0;8;0;1
43;2;0;13000;10000;1;30;0;1;0;1
34;2;0;13000;10000;1;30;1;1;0;1
32;3;2;13000;10000;1;30;0;2;0;0
42;3;0;13000;10000;1;30;0;2;0;1
36;6;1;34500;30000;1;30;0;5;0;1
36;5;1;24500;20000;1;30;0;4;0;1
43;2;1;11500;10000;1;15;0;1;1;1
34;2;1;13000;10000;1;30;0;1;1;1
31;10;5;22250;20000;1;15;0;9;0;0
50;7;0;39000;30000;0;60;0;6;0;1
34;3;1;11500;10000;0;15;1;2;0;0
33;13;4;52500;50000;1;30;1;12;0;1
31;11;2;22000;20000;0;30;1;10;0;1
47;2;0;13000;10000;0;30;1;1;0;1
41;6;2;22250;20000;1;15;1;5;1;1
36;2;0;13000;10000;1;30;1;1;0;1
34;3;1;13000;10000;1;30;0;2;0;1
38;2;0;13000;10000;0;30;1;1;0;1
42;2;0;13000;10000;1;30;0;1;0;1
42;2;0;13000;10000;1;30;0;1;0;1
56;9;8;34500;30000;0;30;0;8;0;1
31;2;0;11500;10000;0;15;1;1;1;1
38;2;0;13000;10000;1;30;1;1;0;0
41;2;0;13000;10000;1;30;0;1;0;1
33;5;1;24500;20000;1;30;0;4;0;1
34;10;1;48000;40000;0;60;0;9;0;1
43;15;2;44000;40000;0;30;0;14;0;1
37;2;0;13000;10000;0;30;0;1;0;0
31;6;3;34500;30000;1;30;0;5;0;0
35;3;2;13000;10000;1;30;0;2;0;0
37;2;0;13000;10000;1;30;0;1;0;1
34;8;2;24500;20000;1;30;0;7;0;1
46;15;5;44000;40000;1;30;0;14;0;1
34;2;0;13000;10000;1;30;0;1;1;0
42;7;0;44000;40000;1;30;0;6;1;1
29;2;0;13000;10000;1;30;1;1;0;1
39;8;4;23000;20000;1;30;0;7;0;1
32;4;1;24500;20000;1;30;1;3;0;1
40;6;0;22250;20000;1;15;0;5;0;1
35;2;0;11500;10000;1;15;1;1;0;1
41;2;0;13000;10000;1;30;0;1;0;1
33;2;1;13000;10000;1;30;1;1;0;0
28;5;0;34500;30000;0;30;0;4;0;1
31;2;0;13000;10000;1;30;0;1;0;1
45;6;0;24500;20000;1;30;0;5;0;1
40;11;7;48000;40000;1;60;1;10;0;0
41;3;0;11500;10000;1;15;0;2;0;1
33;7;0;16500;15000;0;30;1;6;0;1
32;6;1;24500;20000;1;30;0;5;0;1
32;2;1;11500;10000;1;15;1;1;0;1
34;2;0;13000;10000;1;30;0;1;0;1
39;5;2;24500;20000;0;30;1;4;1;0
44;3;2;13000;10000;1;30;0;2;1;0
44;5;0;22250;20000;1;15;0;4;0;0
35;4;0;24500;20000;1;30;1;3;0;1
40;2;1;11500;10000;0;15;1;1;0;1
35;16;1;21000;20000;0;15;0;15;0;1
37;3;0;11500;10000;0;15;1;2;0;1
30;8;0;34500;30000;0;30;1;7;0;1
42;2;0;13000;10000;1;30;1;1;1;1
34;14;3;31500;30000;1;30;0;13;0;1
40;6;0;24500;20000;0;30;1;5;0;1
31;3;2;13000;10000;0;30;1;2;0;0
34;5;2;21750;20000;0;15;0;4;0;1
39;2;0;13000;10000;1;30;0;1;0;1
33;2;0;11500;10000;1;15;0;1;0;1
35;9;5;34500;30000;0;30;0;8;0;1
33;2;1;13000;10000;0;30;0;1;0;1
51;2;0;11500;10000;1;15;0;1;0;1
34;10;0;48000;40000;1;60;1;9;0;1
34;12;8;22250;20000;1;15;0;11;0;0
41;2;0;11500;10000;1;15;1;1;0;1
36;9;2;57500;50000;1;90;0;8;0;0
34;7;3;34500;30000;1;30;1;6;0;1
36;7;1;23000;20000;0;30;0;6;0;1
37;2;1;13000;10000;1;30;0;1;0;0
34;2;0;13000;10000;1;30;0;1;0;1
47;13;11;24500;20000;0;30;0;12;0;0
47;13;1;44000;40000;0;30;0;12;0;1
34;7;4;24500;20000;1;30;0;6;0;1
39;3;2;13000;10000;1;30;0;2;1;0
43;13;2;57500;50000;1;90;1;12;0;1
39;10;7;34500;30000;1;30;1;9;0;1
38;2;0;13000;10000;1;30;0;1;0;0
34;14;3;33000;30000;1;30;0;13;0;0
44;4;3;24500;20000;1;30;1;3;0;0
39;5;2;22250;20000;1;15;0;4;0;0
47;2;0;11500;10000;1;15;0;1;1;1
32;5;3;13000;10000;1;30;0;4;0;0
34;13;9;24500;20000;0;30;1;12;0;1
47;3;0;13000;10000;1;30;1;2;0;1
30;3;2;22250;20000;0;15;1;2;0;0
39;2;1;11500;10000;1;15;1;1;0;1
29;2;0;13000;10000;1;30;0;1;0;0
37;5;2;11500;10000;1;15;1;4;0;1
28;2;0;11500;10000;0;15;0;1;0;1
35;5;0;24500;20000;1;30;1;4;0;1
35;2;0;11500;10000;1;15;0;1;0;1
27;9;1;44000;40000;1;30;0;8;0;1
36;2;0;12500;10000;1;30;0;1;0;1
37;2;0;11500;10000;1;15;0;1;0;1
37;2;0;11500;10000;1;15;0;1;0;1
37;10;2;34500;30000;1;30;0;9;0;1
42;12;7;34500;30000;0;30;1;11;0;0
31;2;0;13000;10000;1;30;0;1;0;1
42;9;3;48000;40000;1;60;0;8;0;1
39;4;2;13000;10000;1;30;0;3;0;0
41;15;0;52500;50000;1;30;0;14;0;1
30;3;2;13000;10000;1;30;0;2;0;1
46;12;7;44000;40000;0;30;1;11;0;1
35;11;4;44000;40000;0;30;1;10;0;0
27;13;4;57500;50000;0;90;0;12;0;1
37;3;0;11500;10000;1;15;0;2;1;1
38;2;0;13000;10000;0;30;0;1;0;1
29;2;1;11500;10000;1;15;0;1;0;0
43;5;0;24500;20000;1;30;1;4;1;1
33;3;1;11500;10000;1;15;0;2;0;1
37;5;1;24500;20000;1;30;0;4;0;1
45;2;0;13000;10000;1;30;0;1;1;1
29;4;1;13000;10000;1;30;0;3;0;0
46;14;2;44000;40000;1;30;0;13;0;1
26;8;6;34500;30000;0;30;0;7;0;1
37;2;1;11500;10000;0;15;1;1;0;0
43;4;2;13000;10000;0;30;1;3;0;1
41;9;4;39000;30000;1;60;1;8;0;0
29;2;0;13000;10000;1;30;1;1;0;1
36;7;2;39000;30000;1;60;0;6;0;1
36;12;5;39000;30000;0;60;1;11;0;0
34;2;0;11500;10000;1;15;1;1;0;1
46;2;1;13000;10000;1;30;1;1;1;0
44;8;0;34500;30000;0;30;0;7;0;1
36;5;2;23000;20000;1;30;1;4;1;1
39;3;0;13000;10000;1;30;0;2;1;0
33;4;2;13000;10000;1;30;0;3;1;1
42;2;0;13000;10000;1;30;0;1;1;1
33;6;0;39000;30000;0;60;1;5;0;1
39;3;1;11500;10000;0;15;1;2;1;0
47;2;1;13000;10000;0;30;1;1;0;0
45;10;1;39000;30000;1;60;0;9;0;1
32;4;0;24500;20000;1;30;1;3;0;1
30;3;2;13000;10000;1;30;0;2;0;1
43;3;0;13000;10000;1;30;0;2;0;1
38;16;2;44000;40000;1;30;0;15;0;1
31;6;4;13000;10000;1;30;1;5;0;0
51;8;2;24500;20000;1;30;0;7;0;1
33;8;0;39000;30000;1;60;1;7;0;1
33;7;0;34500;30000;1;30;0;6;0;1
31;8;0;10750;10000;1;15;0;7;0;1
34;4;3;13000;10000;1;30;0;3;0;1
36;2;1;13000;10000;1;30;0;1;0;0
55;10;4;48000;40000;1;60;0;9;0;1
44;2;0;11500;10000;1;15;0;1;0;1
40;2;0;11500;10000;1;15;0;1;0;1
33;3;1;13000;10000;1;30;0;2;0;0
36;4;2;24500;20000;1;30;0;3;0;1
33;3;2;13000;10000;1;30;1;2;0;0
41;2;0;13000;10000;1;30;0;1;0;1
34;4;2;24500;20000;1;30;0;3;1;0
33;2;0;11500;10000;1;15;1;1;0;1
39;2;1;13000;10000;0;30;1;1;0;0
45;3;1;13000;10000;1;30;1;2;0;1
31;13;2;22250;20000;1;15;1;12;0;0
35;12;3;57500;50000;0;90;1;11;0;1
27;7;4;13000;10000;1;30;1;6;0;0
35;3;0;11500;10000;0;15;1;2;0;0
41;2;1;11500;10000;1;15;0;1;0;1
38;15;5;33000;30000;0;30;0;14;0;1
40;6;3;13000;10000;1;30;1;5;0;1
35;8;3;34500;30000;1;30;0;7;0;1
33;2;0;13000;10000;0;30;0;1;0;0
39;4;2;11500;10000;1;15;1;3;0;1
40;6;2;34500;30000;1;30;0;5;0;1
49;9;1;24500;20000;1;30;1;8;0;1
44;2;1;13000;10000;0;30;0;1;0;1
32;6;2;16125;15000;0;15;0;5;0;1
33;2;0;13000;10000;1;30;1;1;0;1
29;3;0;11500;10000;0;15;1;2;0;1
38;2;1;13000;10000;1;30;1;1;1;1
36;4;1;24500;20000;1;30;1;3;0;1
38;5;2;12250;10000;0;30;1;4;0;1
44;3;1;13000;10000;1;30;1;2;1;1
49;9;2;34500;30000;1;30;0;8;0;1
37;7;0;34500;30000;1;30;0;6;1;1
39;2;0;13000;10000;1;30;0;1;0;1
39;10;0;34500;30000;1;30;1;9;0;1
30;3;0;13000;10000;1;30;1;2;0;1
40;8;3;34500;30000;1;30;0;7;0;1
30;4;0;12250;10000;1;30;0;3;1;1
56;4;3;13000;10000;1;30;0;3;0;0
35;3;2;11125;10000;1;15;0;2;1;1
47;5;1;24500;20000;0;30;0;4;0;1
33;4;1;13000;10000;1;30;1;3;0;1
33;10;5;13000;10000;1;30;0;9;0;1
31;3;2;13000;10000;1;30;0;2;0;0
37;11;4;48000;40000;0;60;0;10;0;1
37;7;2;48000;40000;0;60;1;6;0;1
42;6;1;24500;20000;1;30;0;5;0;1
36;2;0;13000;10000;1;30;0;1;1;1
45;10;2;34500;30000;0;30;0;9;0;1
30;14;3;48000;40000;1;60;1;13;0;1
38;4;1;16687;15000;1;15;0;3;1;1
33;3;0;13000;10000;1;30;1;2;1;1
33;3;0;13000;10000;1;30;0;2;1;0
45;3;1;11500;10000;1;15;1;2;0;1
42;12;3;44000;40000;1;30;1;11;0;1
48;10;6;39000;30000;1;60;0;9;0;1
40;3;2;11500;10000;1;15;0;2;0;0
38;7;3;13000;10000;0;30;1;6;0;1
33;6;5;11500;10000;1;15;0;5;0;0
39;2;0;13000;10000;1;30;0;1;0;1
35;3;1;11500;10000;1;15;0;2;0;0
40;5;1;13000;10000;1;30;1;4;0;1
45;10;2;34500;30000;1;30;0;9;0;0
32;3;1;11500;10000;1;15;0;2;0;1
47;3;1;13000;10000;1;30;1;2;0;1
36;2;0;11500;10000;0;15;1;1;1;1
38;2;0;13000;10000;1;30;1;1;0;1
36;13;3;44000;40000;1;30;1;12;0;0
26;2;0;11500;10000;0;15;0;1;0;1
29;9;1;24500;20000;0;30;0;8;0;1
41;7;3;13000;10000;1;30;1;6;0;1
37;2;0;13000;10000;0;30;1;1;1;0
43;8;2;34500;30000;0;30;0;7;0;0
40;4;0;18375;15000;0;30;0;3;0;0
36;4;0;13000;10000;1;30;1;2;0;1
41;2;0;13000;10000;1;30;0;1;0;1
42;2;0;13000;10000;1;30;0;1;0;1
30;6;3;13000;10000;1;30;0;5;0;0
51;3;2;24500;20000;1;30;1;2;0;0
36;17;1;55000;50000;0;60;1;16;0;0
57;7;1;22250;20000;1;15;1;6;0;0
38;10;3;34500;30000;1;30;1;9;0;1
39;3;2;13000;10000;1;30;1;2;1;1
31;3;1;11500;10000;0;15;0;2;0;1
43;8;3;22000;20000;1;30;0;7;0;1
35;12;5;33000;30000;1;30;0;11;0;1
40;2;1;13000;10000;1;30;1;1;1;1
31;2;1;13000;10000;0;30;0;1;1;0
40;2;0;13000;10000;1;30;0;1;0;1
31;9;5;38500;35000;1;30;1;8;0;1
43;3;1;13000;10000;1;30;0;2;1;1
44;8;1;34500;30000;1;30;1;7;0;1
38;15;4;44000;40000;1;30;0;14;0;1
34;7;1;39000;30000;1;60;0;6;0;1
30;7;1;24500;20000;1;30;0;6;0;1
48;2;0;13000;10000;0;30;1;1;0;1
33;10;0;34500;30000;1;30;1;9;0;1
28;2;1;13000;10000;1;30;1;1;0;1
45;3;0;13000;10000;1;30;0;2;0;1
33;5;1;24500;20000;1;30;0;4;0;1
45;16;3;44000;40000;0;30;1;15;0;0
44;4;0;24500;20000;1;30;0;3;1;1
37;3;2;11500;10000;1;15;0;2;0;0
43;4;0;34500;30000;0;30;0;3;1;0
28;10;0;39000;30000;1;60;0;9;0;0
31;2;1;11500;10000;1;15;0;1;0;0
38;12;10;44000;40000;1;30;0;11;0;1
29;2;1;13000;10000;1;30;0;1;0;0
